g_,p_,micro_,macro_
1.613151107380576,0.25,WW,aW
4.373163214421855,0.625,H1W,aF1
1.4072724888078372,0.3125,WW,aW
1.5320765157230005,0.25,F1W,aW
1.7724546006742958,0.1875,WW,aW
3.736903127988557,0.625,H1W,aF1
-0.1499721955950264,0.125,WW,aW
3.523902148027248,0.5625,H1W,aF1
5.059427055996716,0.75,H1F1,aF1
-0.2980042053700781,0.0625,WW,aW
2.7625505559847654,0.25,F1W,aW
1.3083561255097225,0.25,F1W,aW
1.7634391927588098,0.25,F1W,aW
2.271410596430877,0.3125,WW,aW
1.4620915908283294,0.125,WW,aW
0.8574056868837868,0.0625,WW,aW
0.44308192972313565,0.25,F1W,aW
1.0607560975658596,0.25,WW,aW
0.8356138858214704,0.1875,WW,aW
3.1038880139246134,0.5625,H1W,aF1
1.2990613017210335,0.1875,WW,aW
0.14040049606729488,0.125,WW,aW
0.5252963925997183,0.0625,WW,aW
1.188149632667742,0.125,WW,aW
0.49892210657385755,0.0,WW,aW
0.48470728471360625,0.125,WW,aW
1.7251545819478895,0.25,WW,aW
0.05921166919600056,0.0625,WW,aW
2.165566801226827,0.25,WW,aW
3.9050227368617154,0.5625,H1W,aF1
1.105541517260716,0.25,WW,aW
3.8549119089216566,0.5625,H1W,aF1
-0.08398291152186887,0.0,WW,aW
2.4261477541101284,0.375,F1W,aW
2.6751562969721387,0.1875,WW,aW
3.3088914510505334,0.5,H1W,aF1
0.8813509092645401,0.125,WW,aW
1.5444363688303626,0.375,F1W,aW
6.450251369626319,1.0,H1H1,aH
-0.8074097321593512,0.0625,WW,aW
5.26684534690071,0.625,H1W,aF1
0.5433385106802677,0.125,WW,aW
2.097078253950984,0.25,WW,aW
4.5879610306185725,0.625,H1W,aF1
4.485913304884049,0.5625,H1W,aF1
2.7115009049084646,0.3125,F1W,aW
3.716904603173385,0.625,H1W,aF1
0.13164688008787173,0.0625,WW,aW
3.2546692439337135,0.5,H1W,aF1
2.4905907916998844,0.375,F1W,aW
1.3374004523774736,0.125,WW,aW
-1.1907810036142763,0.0625,WW,aW
0.8006854645274522,0.0625,WW,aW
1.6788828252756889,0.125,WW,aW
3.980171871099574,0.625,H1W,aF1
1.5042401612162504,0.25,WW,aW
3.146231302243821,0.5,H1W,aF1
2.073836584545012,0.1875,WW,aW
-0.01718697339957731,0.3125,WW,aW
-0.41513616762351013,0.1875,WW,aW
1.6878445727576457,0.25,F1W,aW
1.8787981505635263,0.1875,WW,aW
4.455884780951807,0.5,H1W,aF1
-1.1505259428078487,0.0625,WW,aW
0.785531327300642,0.1875,WW,aW
2.3904381182211747,0.375,F1W,aW
1.4827854736803014,0.1875,WW,aW
0.5071827915498048,0.1875,WW,aW
2.736651250411121,0.3125,WW,aW
1.4364115764362806,0.25,WW,aW
3.0362035822123956,0.3125,F1W,aW
0.7420341911632002,0.25,F1W,aW
1.4146875340318275,0.3125,F1W,aW
4.51600492264348,0.6875,H1W,aF1
6.232706268928788,0.8125,H1F1,aF1
2.4571399300362713,0.3125,F1W,aW
0.9769551811488715,0.125,WW,aW
3.8654853474041895,0.5,H1W,aF1
3.8829983411386126,0.5,H1W,aF1
1.1627762651048699,0.0625,WW,aW
-0.021543999440124806,0.0625,WW,aW
1.1893993123494315,0.1875,WW,aW
-0.4575733374370284,0.125,WW,aW
0.6247707986671811,0.125,WW,aW
5.118182697274283,0.875,H1F1,aF1
0.4555634523029023,0.125,WW,aW
1.6659263254645744,0.1875,WW,aW
2.741860520593802,0.4375,F1W,aW
-0.11826886689537722,0.0625,WW,aW
2.0794492390511845,0.3125,WW,aW
0.5994649062138886,0.1875,WW,aW
1.6279469459137144,0.25,WW,aW
3.3833539267457056,0.375,F1W,aW
0.5283107140386508,0.0625,WW,aW
1.3412237755263767,0.125,WW,aW
-0.06650183038559215,0.0625,WW,aW
1.783176101638973,0.25,WW,aW
1.998973058339682,0.3125,F1W,aW
0.8399575407140347,0.3125,F1W,aW
1.1576133053803208,0.125,WW,aW
1.3074060821579605,0.3125,F1W,aW
0.8283392201275881,0.3125,WW,aW
1.7972080860893298,0.0,WW,aW
2.591609108058341,0.5,H1W,aF1
3.417604782667156,0.5625,F1F1,aW
1.3521292159650318,0.3125,F1W,aW
4.7969323685862335,0.75,H1F1,aF1
2.601882833325239,0.5,H1W,aF1
3.939153312177432,0.6875,H1W,aF1
3.2626832517590945,0.25,F1W,aW
1.1881969592031953,0.1875,WW,aW
5.325932812902659,0.8125,H1F1,aF1
1.8668292934762643,0.375,WW,aW
4.443392512020593,0.625,H1W,aF1
0.5887229824643947,0.0,WW,aW
3.521683217203841,0.5,F1W,aW
-0.6362978243545776,0.0,WW,aW
3.242130279043523,0.5,H1W,aF1
2.5915035803861715,0.5,F1W,aW
2.387616593975946,0.375,F1W,aW
2.7023919054180365,0.3125,F1W,aW
2.1783243777023076,0.25,WW,aW
1.4980243181164965,0.1875,WW,aW
0.8781514388068155,0.0,WW,aW
-0.10291826697688258,0.0,WW,aW
0.561622879151688,0.125,WW,aW
4.064653780758638,0.5,H1W,aF1
4.775003149245019,0.625,H1W,aF1
4.880993640918766,0.75,H1F1,aF1
1.3968608599132646,0.1875,WW,aW
3.6968195910775927,0.5,H1W,aF1
4.745841292054734,0.8125,H1F1,aF1
0.5708768831551525,0.125,WW,aW
-0.7133723670188811,0.125,WW,aW
0.41963273138269624,0.0625,WW,aW
-0.5210045153915148,0.125,WW,aW
2.9921283988675054,0.5,H1W,aF1
-0.5990447750979193,0.0625,WW,aW
0.46271730080376083,0.125,WW,aW
2.939378481129655,0.5625,H1W,aF1
2.4566592128170406,0.5,H1W,aF1
4.776172244044115,0.625,H1W,aF1
2.0432607570147656,0.375,F1W,aW
5.402449397978033,0.75,H1F1,aF1
1.4629496417677599,0.0625,WW,aW
2.6518342506217825,0.4375,F1W,aW
4.606981895016525,0.75,H1F1,aF1
